Customer_ID,Brand,Interaction
C100001,Ajio,0
C100003,Ajio,0
C100004,Ajio,0
C100005,Ajio,0
C100007,Ajio,0
C100009,Ajio,0
C100010,Ajio,0
C100012,Ajio,0
C100013,Ajio,0
C100019,Ajio,0
C100020,Ajio,0
C100021,Ajio,0
C100022,Ajio,1
C100023,Ajio,0
C100024,Ajio,0
C100027,Ajio,0
C100028,Ajio,0
C100029,Ajio,0
C100030,Ajio,0
C100031,Ajio,0
C100032,Ajio,0
C100033,Ajio,1
C100036,Ajio,0
C100037,Ajio,1
C100039,Ajio,0
C100040,Ajio,1
C100041,Ajio,0
C100043,Ajio,0
C100044,Ajio,0
C100045,Ajio,0
C100047,Ajio,0
C100048,Ajio,0
C100049,Ajio,0
C100050,Ajio,0
C100051,Ajio,0
C100052,Ajio,0
C100053,Ajio,0
C100055,Ajio,0
C100057,Ajio,1
C100058,Ajio,0
C100059,Ajio,0
C100060,Ajio,0
C100062,Ajio,0
C100063,Ajio,1
C100064,Ajio,0
C100065,Ajio,0
C100068,Ajio,0
C100069,Ajio,0
C100070,Ajio,0
C100071,Ajio,0
C100072,Ajio,0
C100074,Ajio,0
C100075,Ajio,0
C100076,Ajio,0
C100077,Ajio,0
C100079,Ajio,0
C100080,Ajio,0
C100081,Ajio,1
C100082,Ajio,1
C100083,Ajio,0
C100086,Ajio,0
C100087,Ajio,0
C100090,Ajio,1
C100091,Ajio,0
C100092,Ajio,0
C100094,Ajio,0
C100095,Ajio,0
C100097,Ajio,1
C100098,Ajio,0
C100100,Ajio,1
C100102,Ajio,1
C100104,Ajio,1
C100106,Ajio,0
C100108,Ajio,0
C100111,Ajio,0
C100112,Ajio,0
C100113,Ajio,0
C100115,Ajio,0
C100118,Ajio,0
C100120,Ajio,0
C100122,Ajio,0
C100123,Ajio,0
C100124,Ajio,0
C100125,Ajio,0
C100126,Ajio,0
C100129,Ajio,0
C100132,Ajio,0
C100135,Ajio,0
C100137,Ajio,1
C100138,Ajio,0
C100143,Ajio,0
C100144,Ajio,0
C100145,Ajio,0
C100146,Ajio,0
C100147,Ajio,0
C100148,Ajio,1
C100150,Ajio,0
C100151,Ajio,0
C100154,Ajio,0
C100155,Ajio,0
C100156,Ajio,0
C100157,Ajio,0
C100159,Ajio,1
C100162,Ajio,0
C100163,Ajio,0
C100164,Ajio,0
C100167,Ajio,1
C100169,Ajio,0
C100171,Ajio,0
C100172,Ajio,0
C100175,Ajio,0
C100176,Ajio,0
C100177,Ajio,0
